id,usuario_id,tipo_membresia_id,fecha_inicio,fecha_fin,estado,created_at,stripe_subscription_id
4f4c2d70-0f12-4427-8257-0228d98473ec,b4ea00c3-5e49-4245-a63b-2e3b053ca2c7,df6a192e-941e-415c-b152-2572dcba092c,2025-03-10 14:06:35.114+00,2026-03-10 14:06:35.114+00,activa,2025-03-10 14:06:36.295035+00,
5a02446b-6fb7-4c28-a343-04828f5b8626,ddb19376-9903-487d-b3c8-98e40147c69d,9e6ecc49-90a9-4952-8a00-55b12cd39df1,2025-03-08 13:17:13.371+00,2026-03-08 13:17:13.372+00,activa,2025-03-08 13:17:13.567251+00,
6480eaec-6e82-4b66-b313-03bd8bb3db37,b99f2269-1587-4c4c-92cd-30a212c2070e,9e6ecc49-90a9-4952-8a00-55b12cd39df1,2025-03-09 21:11:10.091+00,2026-03-09 21:11:10.091+00,activa,2025-03-08 23:59:15.444628+00,
fc233beb-5f96-4629-b451-47b268c6d860,b4ea00c3-5e49-4245-a63b-2e3b053ca2c7,9e6ecc49-90a9-4952-8a00-55b12cd39df1,2025-03-10 13:23:41.637+00,2026-03-10 13:23:41.637+00,inactiva,2025-03-09 21:45:05.760359+00,
